OperatorInfo/Title;UsageType/Title;AddressInfo/Title;AddressInfo/AddressLine1;AddressInfo/AddressLine2;AddressInfo/Latitude;AddressInfo/Longitude;NumberOfPoints;Connections/0/ConnectionType/Title;Connections/0/Level/Title;Connections/0/Amps;Connections/0/Voltage;Connections/0/PowerKW
(Unknown Operator);Public - Membership Required;Carrer Salvador Espriu;Carrer Salvador Espriu;Sant Pere i Sant Pau;41.12084792;1.271997358;2;CHAdeMO;Level 3:  High (Over 40kW);125;400;50
(Unknown Operator);Public;PDR Castelló d'Empuries;Carreró del Palau;;42.25807397;3.074293509;2;Mennekes (Type 2);Level 2 : Medium (Over 2kW);;;22
(Unknown Operator);Public - Pay At Location;Gasolwin Balones;Ronda Sur;;38.80930453;-0.609188137;2;CHAdeMO;Level 3:  High (Over 40kW);120;400;50
(Unknown Operator);Public - Pay At Location;Gasolwin Textil;Avenida del Textil 78;;38.83029888;-0.575772864;2;CHAdeMO;Level 3:  High (Over 40kW);120;400;50
(Unknown Operator);Public;CM-220;CM-220;;39.55052514;-1.901957548;1;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
(Unknown Operator);Private - For Staff, Visitors or Customers;Avinguda de Roses;Avinguda de Roses;Vilatenim;42.26761853;2.990076531;2;CHAdeMO;Level 3:  High (Over 40kW);80;;55
(Unknown Operator);Public;pdr empuribrava;Carrer Requesens;Empuriabrava;42.24514097;3.124193996;2;Mennekes (Type 2);Level 2 : Medium (Over 2kW);;;22
(Business Owner at Location);Public - Pay At Location;Estació de servei Ramell Alcarràs AS 24H;L-800 Carretera de Vallmanya C-157;;41.57605044;0.517009087;2;CHAdeMO;Level 3:  High (Over 40kW);125;400;50
(Unknown Operator);Public - Membership Required;Edrr Mont-roig del camp;Avinguda del Mar;Miami Playa;41.01011442;0.938555635;2;CHAdeMO;Level 3:  High (Over 40kW);125;400;50
(Unknown Operator);Public - Membership Required;Petrem Trucks;Avinguda d'Àlguema;;42.23109485;2.956315865;2;CHAdeMO;Level 3:  High (Over 40kW);;;50
(Unknown Operator);Public;Petrem Figueres;Avinguda Vilallonga;Vilatenim;42.26665785;2.973205437;2;CHAdeMO;Level 3:  High (Over 40kW);;;50
AMB (Àrea metropolitana de Barcelona);Public - Membership Required;Edrr plaza creu de la ma;Carrer Nou;Vilatenim;42.259898;2.966711022;2;CHAdeMO;Level 3:  High (Over 40kW);;;50
AMB (Àrea metropolitana de Barcelona);Public - Membership Required;EdRR Plaça de Josep Tarradellas;Plaça de Josep Tarradellas;Vilatenim;42.26902835;2.966850833;2;CHAdeMO;Level 3:  High (Over 40kW);80;400;55
Tesla Motors (Worldwide);Public - Membership Required;My Car Wash Madrid Canillas;Calle de Canillas;;40.441895;-3.674985;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
Tesla Motors (Worldwide);Public - Membership Required;Hemingway Casa Rural Kanala;Hemingway Casa Rural Kanala;;43.38577;-2.678814;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);;;9
Tesla Motors (Worldwide);Public - Membership Required;One Ocean Club;Moll de la Barceloneta;;41.380261;2.186361;2;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);32;400;22
(Unknown Operator);Private - For Staff, Visitors or Customers;nissan nikko center;Carretera Tarragona - Salou;Torreforta;41.11514049;1.218439927;1;CHAdeMO;Level 3:  High (Over 40kW);;;50
(Unknown Operator);Private - For Staff, Visitors or Customers;Magic Robin hood;Carrer Paradies;;38.5650396;-0.085928483;1;CEE 7/4 - Schuko - Type F;Level 2 : Medium (Over 2kW);;230;3
(Unknown Operator);Public - Membership Required;My recarga abalat dels sorells;Carrer del Pare Salvador Mollá;;39.54440497;-0.34682298;2;Mennekes (Type 2);Level 2 : Medium (Over 2kW);;;22
(Unknown Operator);Public;PdRR aldaia;Plaça de la Consitució;;39.46496946;-0.46058789;3;CHAdeMO;Level 3:  High (Over 40kW);;;50
(Unknown Operator);Public - Membership Required;Plaça de Josep Umbert Ventura;Plaça de Josep Umbert Ventura;;41.68894084;2.164301341;2;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
(Unknown Operator);Public;Ikea Sabadell;C-58LD;;41.51049901;2.105889943;22;Mennekes (Type 2);Level 2 : Medium (Over 2kW);16;230;3.75
(Unknown Operator);Public;Aldi sabadell;Carretera de Barcelona;;41.53455814;2.111971226;2;CEE 7/4 - Schuko - Type F;Level 2 : Medium (Over 2kW);;230;3
Tesla Motors (Worldwide);Public - Membership Required;Hotel Maisonnave;Hotel Maisonnave;;42.817386;-1.645072;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);16;400;11
Tesla Motors (Worldwide);Public - Membership Required;Casas Rurales el Viejo Establo;Paraje la Matanza;;38.14407;-1.072401;1;Tesla (Model S onwards);Level 2 : Medium (Over 2kW);16;400;11
(Unknown Operator);Public - Pay At Location;Complejo Tudanca Easy Charger;Carretera Madrid A1 km 134;;41.622981;-3.6871568;3;CHAdeMO;Level 3:  High (Over 40kW);125;500;50
(Unknown Operator);Public - Pay At Location;Parking Primo de Rivera;Avda. General Primo d eRivera, 13;;39.47244;-6.378859926;9;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;230;7.36
Iberdrola;Public - Pay At Location;Trio Iberdrola;Avinguda de la Concòrdia;Ca n'Ustrell;41.55887041;2.096480153;2;CHAdeMO;Level 3:  High (Over 40kW);;;
POLAR (UK);Public - Membership Required;Hotel-Restaurante el Molino. Carretera Madrid-Irun;Hotel;;42.651615;-3.084218;2;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
(Unknown Operator);Public - Membership Required;Edrr Calafell;Carretera del Sanatori;29;41.19006599;1.568153738;1;CHAdeMO;Level 3:  High (Over 40kW);;;50
(Unknown Operator);Public - Pay At Location;BP Nissan Satra;Avenida Valencia;223;39.9645052;-0.06387767;1;CHAdeMO;Level 3:  High (Over 40kW);110;400;50
(Unknown Operator);Public - Membership Required;EdRR segur de calafell;C-31;;41.19267436;1.603785967;2;CHAdeMO;Level 3:  High (Over 40kW);;400;50
AMB (Àrea metropolitana de Barcelona);Public - Membership Required;Sortida Aparcament C.C Sant Cugat;Sortida Aparcament C.C Sant Cugat;Can Vasconcel;41.48271906;2.05132692;1;CHAdeMO;Level 3:  High (Over 40kW);125;400;50
AMB (Àrea metropolitana de Barcelona);Public - Membership Required;EdRR Sant Cugat;Avigunda de la via Augusta;;41.48271895;2.051343528;2;CHAdeMO;Level 3:  High (Over 40kW);125;400;50
(Business Owner at Location);Public;Ayuntamiento de utiel;Av. del Deporte, 14;;39.57256698;-1.210929259;1;CHAdeMO;Level 3:  High (Over 40kW);120;400;50
(Unknown Operator);Private - For Staff, Visitors or Customers;Santi Enrique Nissan Barberá del Vallés;Carretera de Barcelona;;41.51415293;2.128199049;1;CHAdeMO;Level 3:  High (Over 40kW);;;50
(Business Owner at Location);Public - Pay At Location;Gasolinera Coopelec;Carr. Tabernes Chiva, 11, 46610 Guadasuar, Valencia, España;;39.18115987;-0.476511093;3;Mennekes (Type 2);Level 2 : Medium (Over 2kW);32;400;22
